name,key,Life expectancy at birth (years) 2015,Total fertility rate 2015,Deaths due to ischemic heart disease (cases per 100k population) 2010,Deaths due to cancer (cases per 100k population) 2010,Human resources in science and technology (percent) 2016,Population density (people per km^2) 2015,Unemployment rate (percent) 2016,Regional gross domestic product (PPS per inhabitant) 2015,Mean precipitation (mm) Apr-Sep,Mean precipitation (mm) Oct-Mar,Mean temperature (C) Apr-Sep,Mean temperature (C) Oct-Mar
Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,80.9,1.85,101.0,273.4,54.1,7408.0,16.7,59200.0,6.10622215271,6.16205596924,15.0055567424,5.86277770996
Prov. Antwerpen,BE21,82.0,1.73,86.1,266.4,47.9,652.0,6.1,40400.0,6.28787517548,6.35268052419,15.1209726334,5.91986083984
Prov. Limburg (BE),BE22,82.5,1.58,96.2,262.2,46.3,361.9,4.8,28600.0,6.2071665446,6.22586669922,14.889666748,5.49355545044
Prov. Oost-Vlaanderen,BE23,81.5,1.65,95.1,281.6,51.2,503.4,4.2,31500.0,6.16082191467,6.33013331095,14.8863334656,6.08288879395
Prov. Vlaams-Brabant,BE24,82.5,1.66,88.1,256.5,58.3,532.2,4.8,37200.0,6.30542742821,6.52209587717,15.0255833748,5.92791390728
Prov. West-Vlaanderen,BE25,82.0,1.65,96.7,260.9,45.8,378.3,3.7,33200.0,6.17091623942,6.33097203573,14.7963886261,6.20222218831
Prov. Brabant Wallon,BE31,81.7,1.71,86.7,263.6,61.8,363.0,7.9,37400.0,6.3306552887,6.56156679789,15.0136670431,5.84566637675
Prov. Hainaut,BE32,78.6,1.71,116.0,296.8,42.7,354.8,11.8,22100.0,6.59925895267,6.87852785322,14.601574156,5.60092608134
Prov. Liège,BE33,79.4,1.68,101.8,286.1,46.3,286.5,11.1,24700.0,6.75830123538,6.80462691897,14.4173017229,4.88746032261
Prov. Luxembourg (BE),BE34,80.1,1.79,97.3,284.6,46.1,63.5,7.8,21800.0,7.40938194593,8.15730571747,13.853055954,4.11986114581
Prov. Namur,BE35,79.3,1.66,98.2,275.8,47.9,134.2,9.7,23500.0,6.75445355309,6.93152798547,14.2738891178,4.85083331002
Северозападен (Severozapaden),BG31,73.5,1.71,201.3,211.6,30.2,42.5,10.6,8400.0,5.43876474044,4.07312408148,17.2132681304,3.02807192008
Северен централен (Severen tsentralen),BG32,74.1,1.42,188.0,229.4,31.9,57.0,9.3,9500.0,4.78998289353,3.43761955163,18.8072228065,3.97811965453
Североизточен (Severoiztochen),BG33,74.4,1.47,202.5,266.0,32.7,65.5,9.7,11200.0,4.69284516289,3.63224997975,18.2698020027,4.34023813974
Югоизточен (Yugoiztochen),BG34,74.3,1.84,203.7,218.8,29.5,54.8,7.9,11300.0,5.58262205124,4.62875286738,17.0986110687,4.01455557346
Югозападен (Yugozapaden),BG41,75.6,1.34,197.7,249.2,47.8,107.1,5.4,22000.0,5.88054525852,4.43069783847,14.3579167922,1.8216666157
Южен централен (Yuzhen tsentralen),BG42,74.8,1.63,283.7,246.5,28.8,66.0,7.1,9600.0,5.84682585398,4.76401485867,14.9930370331,2.47522227499
Praha,CZ01,80.3,1.47,246.3,309.5,58.5,2604.7,2.2,51400.0,5.60950024923,2.65788888931,14.9561106364,2.61777766546
Střední Čechy,CZ02,78.8,1.64,359.1,337.5,36.6,122.3,3.1,23300.0,6.18239254972,3.90221683399,13.81158074,1.67007213003
Jihozápad,CZ03,78.5,1.58,311.3,328.7,33.2,71.1,3.1,22300.0,6.8292308272,4.39362866418,13.2318715547,1.19415209482
Severozápad,CZ04,76.9,1.56,357.4,363.2,28.9,132.4,5.2,18800.0,7.05528688431,5.08683331807,13.3463426166,1.82412034273
Severovýchod,CZ05,79.1,1.6,348.4,309.8,34.5,123.0,4.0,20700.0,7.05333697001,5.06365191142,13.4288887872,1.41833332909
Jihovýchod,CZ06,79.5,1.59,343.6,296.9,39.5,122.8,3.7,23500.0,6.1756111145,3.71139261458,14.143481191,1.45825925006
Střední Morava,CZ07,78.6,1.55,363.6,289.3,33.6,133.8,3.9,21000.0,7.17717170715,4.0116817301,13.9922725793,1.43742428404
Moravskoslezsko,CZ08,77.5,1.5,425.3,323.2,34.2,228.9,6.9,20900.0,7.89551862081,4.20524685471,13.901234097,1.52746921115
