name,url,real_name,occupation,gender,height,weight,number_of_appearances,first_apperance_year,universe,place_of_birth,movie_appearances
89P13,/wiki/89P13_(Earth-199999),89P13,"Bounty hunter, outlaw",Male,,,6,2014.0,Earth-199999,Halfworld,2.0
Abigail Brand,/wiki/Abigail_Brand_(Earth-8096),Abigail Brand,Director of  S.W.O.R.D.,Female,,,3,2012.0,Earth-8096,,
Abigail Callaghan,/wiki/Abigail_Callaghan_(Earth-14123),Abigail Callaghan,Pilot,Female,,,1,2014.0,Earth-14123,,1.0
Abigail Miller,/wiki/Abigail_Miller_(Earth-701306),Abigail Miller,Home School Student,Female,1.524,,1,2005.0,Earth-701306,,1.0
Abigail Whistler,/wiki/Abigail_Whistler_(Earth-26320),Abigail Whistler,Vampire Hunter,Female,1.7018,52.616672,2,2004.0,Earth-26320,,
Abraham Cornelius,/wiki/Abraham_Cornelius_(Earth-10005),Abraham Cornelius,Scientist,Male,,,2,2009.0,Earth-10005,,1.0
Abraham Cornelius,/wiki/Abraham_Cornelius_(Earth-8096),Abraham Cornelius,,Male,,,3,2009.0,Earth-8096,,1.0
Abraham Erskine,/wiki/Abraham_Erskine_(Earth-199999),Abraham Erskine,Scientist,Male,,,6,2011.0,Earth-199999,Germany,1.0
Abraham Erskine,/wiki/Abraham_Erskine_(Earth-8096),Abraham Erskine,Scientist,Male,,,1,2010.0,Earth-8096,,
Abraham Whistler,/wiki/Abraham_Whistler_(Earth-26320),Abraham Whistler,Vampire Hunter,Male,1.778,,6,1998.0,Earth-26320,,1.0
Abu Bakaar,/wiki/Abu_Bakaar_(Earth-199999),Abu Bakaar,Terrorist,Male,,,3,2008.0,Earth-199999,,1.0
Ace Peterson,/wiki/Ace_Peterson_(Earth-199999),Ace Peterson,,Male,,,3,2013.0,Earth-199999,,
Adam Warlock,/wiki/Adam_Warlock_(Earth-10022),Adam Warlock,,Male,,,1,,Earth-10022,,1.0
Adam Warlock,/wiki/Adam_Warlock_(Earth-8096),Adam Warlock,Guardian of the Galaxy,Male,,,1,2012.0,Earth-8096,,
Adolf Hitler,/wiki/Adolf_Hitler_(Earth-199999),Adolf Hitler,"Politician,  Führer  and leader of Nazi Germany",Male,,,1,2011.0,Earth-199999,,
Adrian Toomes,/wiki/Adrian_Toomes_(Earth-120703),Adrian Toomes,,Male,,,1,,Earth-120703,,
Adrian Toomes,/wiki/Adrian_Toomes_(Earth-96283),Adrian Toomes,Professional criminal; former electrical engineer,Male,1.8034,79.3786,2,2002.0,Earth-96283,Staten Island,
Agent Barbour,/wiki/Agent_Barbour_(Earth-199999),Barbour (first name unknown),S.H.I.E.L.D. agent (former),Male,,,1,2014.0,Earth-199999,,
